Age,<1,1,2,3,4,5,6,7,8,9,10,11,12
Johor,7,1,4,,4,1,3,1,5,6,4,5,5
Kedah,0,1,,1,1,,,1,,,,,1
Kelantan,1,2,1,1,1,,1,1,1,2,,1,
Melaka,1,,,,,,,,1,1,1,3,2
Negeri Sembilan,2,2,2,2,5,4,3,2,3,6,3,6,6
Pahang,0,1,,2,,,1,,2,2,2,3,1
Perak,4,1,,,1,1,2,,1,,,,
Perlis,0,,,,,,,,,1,,,
Pulau Plnang,1,,1,1,,,1,1,,1,1,1,2
Sabah,0,1,4,3,3,1,1,1,,2,1,2,7
Sarawak,1,2,1,2,4,,2,3,,,2,3,3
Selangor,4,11,5,7,3,6,2,7,4,7,7,6,8
Terengganu,0,,1,,1,,,2,,1,2,,
WP Labuan,0,,,,,,,,,,,1,
WP Kuala Lumpur & Putrajaya,1,2,3,2,1,4,1,4,3,2,3,2,
